ref_area.label,source.label,indicator.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Total,Currency: U.S. dollars,2022,4.236,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Male,Currency: Local currency,2022,553.141,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Male,Currency: 2021 PPP $,2022,8.06,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Male,Currency: U.S. dollars,2022,4.235,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Female,Currency: Local currency,2022,553.412,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Female,Currency: 2021 PPP $,2022,8.064,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Female,Currency: U.S. dollars,2022,4.237,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Total,Currency: Local currency,2021,354.486,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Total,Currency: 2021 PPP $,2021,8.246,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Total,Currency: U.S. dollars,2021,3.732,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Male,Currency: Local currency,2021,356.727,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Male,Currency: 2021 PPP $,2021,8.299,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Male,Currency: U.S. dollars,2021,3.755,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Female,Currency: Local currency,2021,351.801,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Female,Currency: 2021 PPP $,2021,8.184,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Female,Currency: U.S. dollars,2021,3.704,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Total,Currency: Local currency,2020,270.527,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Total,Currency: 2021 PPP $,2020,9.018,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Total,Currency: U.S. dollars,2020,3.835,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Male,Currency: Local currency,2020,270.359,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Male,Currency: 2021 PPP $,2020,9.012,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Male,Currency: U.S. dollars,2020,3.833,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Female,Currency: Local currency,2020,270.732,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Female,Currency: 2021 PPP $,2020,9.025,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Female,Currency: U.S. dollars,2020,3.838,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Total,Currency: Local currency,2019,170.418,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Total,Currency: 2021 PPP $,2019,7.69,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Total,Currency: U.S. dollars,2019,3.539,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Male,Currency: Local currency,2019,170.121,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Male,Currency: 2021 PPP $,2019,7.676,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Male,Currency: U.S. dollars,2019,3.533,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Female,Currency: Local currency,2019,170.773,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Female,Currency: 2021 PPP $,2019,7.706,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Female,Currency: U.S. dollars,2019,3.547,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Total,Currency: Local currency,2018,121.021,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Total,Currency: 2021 PPP $,2018,8.276,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Total,Currency: U.S. dollars,2018,4.308,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Male,Currency: Local currency,2018,121.878,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Male,Currency: 2021 PPP $,2018,8.335,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Male,Currency: U.S. dollars,2018,4.338,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Female,Currency: Local currency,2018,120.01,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Female,Currency: 2021 PPP $,2018,8.207,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Female,Currency: U.S. dollars,2018,4.272,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Total,Currency: Local currency,2017,94.685,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Total,Currency: 2021 PPP $,2017,8.544,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Total,Currency: U.S. dollars,2017,5.717,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Male,Currency: Local currency,2017,94.3,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Male,Currency: 2021 PPP $,2017,8.509,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Male,Currency: U.S. dollars,2017,5.694,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Female,Currency: Local currency,2017,95.146,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Female,Currency: 2021 PPP $,2017,8.586,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Female,Currency: U.S. dollars,2017,5.745,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Total,Currency: Local currency,2014,40.997,,,"Currency: ARG - Argentine peso (ARS) | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Total,Currency: 2021 PPP $,2014,6.366,,,"Currency: ARG - Argentine peso (ARS) | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Total,Currency: U.S. dollars,2014,5.077,,,"Currency: ARG - Argentine peso (ARS) | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Male,Currency: Local currency,2014,40.915,,,"Currency: ARG - Argentine peso (ARS) | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Male,Currency: 2021 PPP $,2014,6.353,,,"Currency: ARG - Argentine peso (ARS) | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Male,Currency: U.S. dollars,2014,5.067,,,"Currency: ARG - Argentine peso (ARS) | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Female,Currency: Local currency,2014,41.105,,,"Currency: ARG - Argentine peso (ARS) | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Female,Currency: 2021 PPP $,2014,6.383,,,"Currency: ARG - Argentine peso (ARS) | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Average hourly earnings of employees by sex,Female,Currency: U.S. dollars,2014,5.09,,,"Currency: ARG - Argentine peso (ARS) | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Total,Currency: Local currency,2021,5.385,,,Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD),Employment definition: Excluding own-use production workers | Data reference period: April | Population coverage: Excluding institutional population | Reference group coverage: Insured persons | System of national accounts: 2008 SNA
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Total,Currency: 2021 PPP $,2021,4.823,,,Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD),Employment definition: Excluding own-use production workers | Data reference period: April | Population coverage: Excluding institutional population | Reference group coverage: Insured persons | System of national accounts: 2008 SNA
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Total,Currency: U.S. dollars,2021,2.692,,,Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD),Employment definition: Excluding own-use production workers | Data reference period: April | Population coverage: Excluding institutional population | Reference group coverage: Insured persons | System of national accounts: 2008 SNA
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Male,Currency: Local currency,2021,5.231,,,Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD),Employment definition: Excluding own-use production workers | Data reference period: April | Population coverage: Excluding institutional population | Reference group coverage: Insured persons | System of national accounts: 2008 SNA
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Male,Currency: 2021 PPP $,2021,4.685,,,Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD),Employment definition: Excluding own-use production workers | Data reference period: April | Population coverage: Excluding institutional population | Reference group coverage: Insured persons | System of national accounts: 2008 SNA
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Male,Currency: U.S. dollars,2021,2.615,,,Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD),Employment definition: Excluding own-use production workers | Data reference period: April | Population coverage: Excluding institutional population | Reference group coverage: Insured persons | System of national accounts: 2008 SNA
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Female,Currency: Local currency,2021,5.815,,,Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD),Employment definition: Excluding own-use production workers | Data reference period: April | Population coverage: Excluding institutional population | Reference group coverage: Insured persons | System of national accounts: 2008 SNA
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Female,Currency: 2021 PPP $,2021,5.208,,,Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD),Employment definition: Excluding own-use production workers | Data reference period: April | Population coverage: Excluding institutional population | Reference group coverage: Insured persons | System of national accounts: 2008 SNA
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Female,Currency: U.S. dollars,2021,2.908,,,Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD),Employment definition: Excluding own-use production workers | Data reference period: April | Population coverage: Excluding institutional population | Reference group coverage: Insured persons | System of national accounts: 2008 SNA
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Total,Currency: Local currency,2020,6.54,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD),Employment definition: Excluding own-use production workers | Data reference period: September | Population coverage: Excluding institutional population
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Total,Currency: 2021 PPP $,2020,5.521,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD),Employment definition: Excluding own-use production workers | Data reference period: September | Population coverage: Excluding institutional population
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Total,Currency: U.S. dollars,2020,3.27,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD),Employment definition: Excluding own-use production workers | Data reference period: September | Population coverage: Excluding institutional population
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Male,Currency: Local currency,2020,6.35,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD),Employment definition: Excluding own-use production workers | Data reference period: September | Population coverage: Excluding institutional population
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Male,Currency: 2021 PPP $,2020,5.361,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD),Employment definition: Excluding own-use production workers | Data reference period: September | Population coverage: Excluding institutional population
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Male,Currency: U.S. dollars,2020,3.175,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD),Employment definition: Excluding own-use production workers | Data reference period: September | Population coverage: Excluding institutional population
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Female,Currency: Local currency,2020,6.92,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD),Employment definition: Excluding own-use production workers | Data reference period: September | Population coverage: Excluding institutional population
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Female,Currency: 2021 PPP $,2020,5.842,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD),Employment definition: Excluding own-use production workers | Data reference period: September | Population coverage: Excluding institutional population
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Female,Currency: U.S. dollars,2020,3.46,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD),Employment definition: Excluding own-use production workers | Data reference period: September | Population coverage: Excluding institutional population
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Total,Currency: Local currency,2019,7.776,,,Currency: BLZ - Belize dollar (BZD),Repository: ILO-STATISTICS - Micro data processing
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Total,Currency: 2021 PPP $,2019,6.09,,,Currency: BLZ - Belize dollar (BZD),Repository: ILO-STATISTICS - Micro data processing
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Total,Currency: U.S. dollars,2019,3.888,,,Currency: BLZ - Belize dollar (BZD),Repository: ILO-STATISTICS - Micro data processing
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Male,Currency: Local currency,2019,7.534,,,Currency: BLZ - Belize dollar (BZD),Repository: ILO-STATISTICS - Micro data processing
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Male,Currency: 2021 PPP $,2019,5.901,,,Currency: BLZ - Belize dollar (BZD),Repository: ILO-STATISTICS - Micro data processing
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Male,Currency: U.S. dollars,2019,3.767,,,Currency: BLZ - Belize dollar (BZD),Repository: ILO-STATISTICS - Micro data processing
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Female,Currency: Local currency,2019,8.181,,,Currency: BLZ - Belize dollar (BZD),Repository: ILO-STATISTICS - Micro data processing
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Female,Currency: 2021 PPP $,2019,6.407,,,Currency: BLZ - Belize dollar (BZD),Repository: ILO-STATISTICS - Micro data processing
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Female,Currency: U.S. dollars,2019,4.09,,,Currency: BLZ - Belize dollar (BZD),Repository: ILO-STATISTICS - Micro data processing
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Total,Currency: Local currency,2018,7.878,,,Currency: BLZ - Belize dollar (BZD),Repository: ILO-STATISTICS - Micro data processing
Belize,LFS - Labour Force Survey,Average hourly earnings of employees by sex,Total,Currency: 2021 PPP $,2018,5.762,,,Currency: BLZ - Belize dollar (BZD),Repository: ILO-STATISTICS - Micro data processing
